t, u_learned, v_learned
1.231262525050100187e+01, 9.315058172048659157e-01, 1.204436514696751059e+00
1.236072144288577057e+01, 9.310259469395175680e-01, 1.204478645064410935e+00
1.240881763527054105e+01, 9.305518703828364879e-01, 1.204520016830407547e+00
1.245691382765530975e+01, 9.300835186149348788e-01, 1.204560643605033343e+00
1.250501002004008022e+01, 9.296208235439148426e-01, 1.204600538754812877e+00
1.255310621242484892e+01, 9.291637178965388433e-01, 1.204639715406413236e+00
1.260120240480961940e+01, 9.287121352091513016e-01, 1.204678186450448996e+00
1.264929859719438809e+01, 9.282660098188508790e-01, 1.204715964545182150e+00
1.269739478957915857e+01, 9.278252768549130058e-01, 1.204753062120116125e+00
1.274549098196392727e+01, 9.273898722304640962e-01, 1.204789491379484767e+00
1.279358717434869774e+01, 9.269597326344057864e-01, 1.204825264305636079e+00
1.284168336673346644e+01, 9.265347955235901933e-01, 1.204860392662310042e+00
1.288977955911823692e+01, 9.261149991152463068e-01, 1.204894887997810971e+00
1.293787575150300562e+01, 9.257002822076471071e-01, 1.204928761703304652e+00
1.298597194388777609e+01, 9.252905841738937598e-01, 1.204962025015505755e+00
1.303406813627254479e+01, 9.248858453147831282e-01, 1.204994688904042821e+00
1.308216432865731527e+01, 9.244860066436449975e-01, 1.205026764141185369e+00
1.313026052104208397e+01, 9.240910098757647573e-01, 1.205058261305856693e+00
1.317835671342685444e+01, 9.237007974204647365e-01, 1.205089190786768016e+00
1.322645290581162314e+01, 9.233153123733762735e-01, 1.205119562785465837e+00
1.327454909819639184e+01, 9.229344985088997477e-01, 1.205149387319295107e+00
1.332264529058116231e+01, 9.225583002728560134e-01, 1.205178674224276048e+00
1.337074148296593101e+01, 9.221866627753265711e-01, 1.205207433157893915e+00
1.341883767535070149e+01, 9.218195317836834768e-01, 1.205235673601805280e+00
1.346693386773547019e+01, 9.214568537158090988e-01, 1.205263404864456822e+00
1.351503006012024066e+01, 9.210985756335056118e-01, 1.205290636083618860e+00
1.356312625250500936e+01, 9.207446452076895049e-01, 1.205317376239551486e+00
1.361122244488977984e+01, 9.203950105283675853e-01, 1.205343634226731631e+00
1.365931863727454854e+01, 9.200496204174543058e-01, 1.205369418735810605e+00
1.370741482965931901e+01, 9.197084243398494507e-01, 1.205394738287159262e+00
1.375551102204408771e+01, 9.193713723584778785e-01, 1.205419601247810446e+00
1.380360721442885819e+01, 9.190384151276147495e-01, 1.205444015833939009e+00
1.385170340681362688e+01, 9.187095038863579699e-01, 1.205467990113271659e+00
1.389979959919839736e+01, 9.183845904522505155e-01, 1.205491532007426869e+00
1.394789579158316606e+01, 9.180636272150508592e-01, 1.205514649294183949e+00
1.399599198396793653e+01, 9.177465671306520578e-01, 1.205537349609682618e+00
1.404408817635270523e+01, 9.174333637151493859e-01, 1.205559640450551084e+00
1.409218436873747393e+01, 9.171239710390575173e-01, 1.205581529175965505e+00
1.414028056112224441e+01, 9.168183437216749221e-01, 1.205603023009636843e+00
1.418837675350701311e+01, 9.165164369255806021e-01, 1.205624129041737325e+00
1.423647294589178358e+01, 9.162182062287397288e-01, 1.205644854281402001e+00
1.428456913827655228e+01, 9.159236076972540053e-01, 1.205665205626291536e+00
1.433266533066132276e+01, 9.156325980083537264e-01, 1.205685189811383395e+00
1.438076152304609145e+01, 9.153451343497978065e-01, 1.205704813450164670e+00
1.442885771543086193e+01, 9.150611744141595727e-01, 1.205724083036600947e+00
